id,name,adress,zipcode,dist_code,stype
1,1 RIO BALSAS-RIO SENA,001 - Río Balsas-Río Sena,06500,CUA,"BIKE,TPV"
2,2 RIO GUADALQUIVIR-RIO BALSAS,002 - Río Guadalquivir - Río Balsas,06500,CUA,BIKE
3,3 REFORMA-INSURGENTES,003 - Reforma - Insurgentes,06500,1,"BIKE,TPV"
4,4 RIO NILO-RIO PANUCO,004 - Río Nilo - Río Panuco,06500,CUA,BIKE
5,5 RIO PANUCO-RIO TIBER,005 - Río Pánuco Río Tiber,06500,CUA,BIKE
6,6 RIO PANUCO-RIO SENA,006 - Río Pánuco - Río Sena,06500,CUA,BIKE
7,7 RIO ELBA-RIO LERMA,007 - Río Elba - Río Lerma,06500,CUA,BIKE
8,8 REFORMA-GENERAL PRIM,008 - Reforma - General Prim,06500,TAB,BIKE
9,9 RIO GUADALQUIVIR-RIO LERMA,009 - Río Guadalquivir - Río Lerma,06500,CUA,BIKE
10,10 REFORMA-RAMIREZ,010 - Reforma - Ramírez,06500,TAB,"BIKE,TPV"
11,11 RIO AMAZONAS-RIO LERMA,011 - Río Amazonas - Rio Lerma,06500,CUA,BIKE
12,12 RIO LERMA-VILLALONGIN,012 - Río Lerma - Villalongin,06500,1,BIKE
13,13 REFORMA-RIO RODANO,013 - Reforma - Rio Rodano,06500,1,"BIKE,TPV"
14,14 REFORMA-RIO DE PLATA,014 - Reforma - Rio de Plata,06500,CUA,BIKE
15,15 REFORMA-RIO MISSISSIPPI,015 - Reforma - Rio Mississippi,06500,CUA,"BIKE,TPV"
16,16 REFORMA-RIO GUADALQUIVIR,016 - Reforma - Rio Guadalquivir,06500,1,BIKE
17,17 REFORMA-RIO TIBER,017 - Reforma - Rio Tiber,06500,1,"BIKE,TPV"
18,18 REFORMA-RIO SENA,018 - Reforma - Rio Sena,06500,CUA,"BIKE,TPV"
19,19 REFORMA-RIO NEVA,019 - Reforma - Rio Neva,06500,1,"BIKE,TPV"
20,20 REFORMA-RIO TAMESIS,020 - Reforma- Rio Tamesis,06500,CUA,BIKE
21,21 REFORMA-LIEJA,021 - Reforma - Lieja,06500,1,"BIKE,TPV"
22,22 REFORMA-MANCHESTER,022 - Reforma - Manchester,06500,JUA,"BIKE,TPV"
23,23 REFORMA-PRAGA,023 - Reforma - Praga,06500,JUA,BIKE
24,24 REFORMA-VARSOVIA,024 - Reforma- Varsovia,06500,JUA,"BIKE,TPV"
25,25 REFORMA-ESTOCOLMO,025 - Reforma - Estocolmo,06500,JUA,BIKE
26,26 REFORMA-VERSALLES,026 - Reforma - Versalles,06500,JUA,"BIKE,TPV"
27,27 REFORMA-HAVRE,027 - Reforma- Havre,06500,JUA,"BIKE,TPV"
28,28 TOLEDO-TOKIO,028 - Toledo- Tokio,06500,JUA,BIKE
29,29 REFORMA-BUCARELI,029 - Reforma - Bucareli,06500,CEN,"BIKE,TPV"
30,30 HAMBURGO-GENOVA,030 - Hamburgo - Genova,06500,JUA,"BIKE,TPV"
31,31 HAMBURGO-INSURGENTES,031 - Hamburgo - Insurgentes,06500,JUA,BIKE
32,32 LONDRES-SEVILLA,032 - Londres - Sevilla,06500,JUA,BIKE
33,33 LONDRES-FLORENCIA,033 - Londres - Florencia,06500,JUA,BIKE
34,34 LIVERPOOL-GENOVA,034 - Liverpool - Genova,05600,JUA,BIKE
35,35 LIVERPOOL-GENOVA,035 - Liverpool - Genova,06500,JUA,"BIKE,TPV"
36,36 PUEBLA-VERACRUZ,036 - Puebla - Veracruz,06140,1,"BIKE,TPV"
37,37 GUADALAJARA-PUEBLA,037 - Guadalajara - Puebla,06700,R-N,BIKE
38,38 COZUMEL-PUEBLA,038 - Cozumel - PUEBLA,06700,R-N,BIKE
39,39 MEDELLIN-CHAPULTEPEC,039 - Medellin - Chapultepec,06700,R-N,BIKE
40,40 OAXACA-PUEBLA,040 - Oaxaca - Puebla,06700,R-N,BIKE
41,41 REFORMA-AV. DE LA REPUBLICA,041 - Reforma - Av. de la República,06700,1,"BIKE,TPV"
42,42 SINALOA-VALLADOLID,042 - Sinaloa - Valladolid,06700,R-N,BIKE
43,43 JUAREZ-REVILLAGIGEDO,043 - Revillagigedo - Juárez,06700,CEN,"BIKE,TPV"
44,44 DURANGO-VERACRUZ,044 - Durango - Veracruz,06140,R-N,BIKE
45,45 DURANGO-SONORA,045 - Durango - Sonora,06700,R-N,"BIKE,TPV"
46,46 DURANGO-SALAMANCA,046 - Durango - Salamanca,06700,R-N,BIKE
47,47 GLORIETA CIBELES-OAXACA,047 - Glorieta Cibeles - Oaxaca,06700,1,"BIKE,TPV"
48,48 INDEPENDENCIA-AZUETA,048 - Independencia - Azueta,06700,CEN,BIKE
49,49 MAZATLAN-JUAN DE LA BARRERA,049 - Mazatlán - Juan de la Barrera,06140,CON,BIKE
50,50 CUERNAVACA-VERACRUZ,050 - Cuernavaca - Veracruz,06140,CON,BIKE
51,51 COLIMA-OAXACA,051 - Colima - Oaxaca,06700,R-N,BIKE
52,52 HIDALGO-TRUJANO,052 - Dolores - Juárez,06140,CEN,"BIKE,TPV"
53,53 FERNANDO MONTES DE OCA-TULA,053 - Fernando Montes de Oca - Tula,06140,CON,BIKE
54,54 PARQUE ESPAÑA-SONORA,054 - Parque España - Sonora,06700,CON,"BIKE,TPV"
55,55 5 DE MAYO-BOLIVAR,055 - 5 de Mayo - Bolívar,06700,1,"BIKE,TPV"
56,56 ALVARO OBREGON-MEDELLIN,056 - Alvaro Obregón - Medellin,06700,R-N,BIKE
57,57 CUERNAVACA-JUAN ESCUTIA,057 - Cuernavaca - Juan Escutia,06140,1,BIKE
58,58 PARQUE ESPAÑA-JUAN DE LA BARRERA,058 - Parque España - Juan de la Barrera,06140,CON,BIKE
59,59 POPOCATEPETL-AMSTERDAM,059 - Popocatépetl - Amsterdam,06100,HIP,BIKE
60,60 MAZATLAN-FERNANDO MONTES DE OCA,060 - Mazatlán - Fernando Montes de Oca,06140,CON,BIKE
61,61 AVENIDA MEXICO-SONORA,061 - Avenida México - Sonora,06100,HIP,"BIKE,TPV"
62,62 FERNANDO MONTES DE OCA-AMATLAN,062 - Fernando Montes de Oca - Amatlan,06140,CON,BIKE
63,63 NUEVO LEON- LAREDO,063 - Nuevo León - Laredo,06100,1,"BIKE,TPV"
64,64 SONORA-AMSTERDAM,064 - Sonora - Amsterdam,06100,HIP,BIKE
65,65 MARCONI-TACUBA,065 - Marconi - Tacuba,06170,CEN,BIKE
66,66 MAZATLAN-FRANCISCO MARQUEZ,066 - Mazatlán - Francisco Marquez,06170,1,BIKE
67,67 VICENTE SUAREZ-MICHOACAN,067 - Vicente Suárez - Michoacan,06170,CON,BIKE
68,68 TAMAULIPAS-MICHOACAN,068 - Tamaulipas - Michoacan,06170,CON,"BIKE,TPV"
69,69 MICHOACAN-AMSTERDAM,069 - Michoacán - Amsterdam,06100,HIP,BIKE
70,70 PARQUE MEXICO-MICHOACAN,070 - Parque México - Michoacan,06100,1,"BIKE,TPV"
71,71 AMSTERDAM-MICHOACAN,071 - Amsterdam - Michoacan,06100,HIP,BIKE
72,72 MAZATLAN-ALFONSO REYES,072 - Mazatlán - Alfonso Reyes,06170,1,BIKE
73,73 CAMPECHE-TAMAULIPAS,073 - Campeche - Tamaulipas,06170,H-C,BIKE
74,74 NUEVO LEON-OZULAMA,074 - Nuevo León - Ozulama,06100,1,BIKE
75,75 ALFONSO REYES-ATLIXCO,075 - Alfonso Reyes - Atlixco,06170,H-C,BIKE
76,76 CHILPANCINGO-CAMPECHE,076 - Chilpancingo - Campeche,06100,HIP,BIKE
77,77 CHOAPAN-TAMAULIPAS,077 - Choapan - Tamaulipas,06100,HIP,BIKE
78,78 BENJAMIN HILL-TAMAULIPAS,078 - Benjamín Hill - Tamaulipas,06170,HIP,"BIKE,TPV"
79,79 SALTILLO-ALFONSO REYES,079 - Saltillo - Alfonso Reyes,06100,HIP,BIKE
80,80 NUEVO LEON-AGUASCALIENTES,080 - Nuevo León - Aguascalientes,06100,HIP,BIKE
81,81 AGUASCALIENTES-INSURGENTES,081 - Aguascalientes - Insurgentes,06100,HIP,BIKE
82,82 INDEPENDENCIA-MARROQUI,082 - Independencia - Marroquí,06100,CEN,"BIKE,TPV"
83,83 NUEVO LEON-ALFONSO REYES,083 - Nuevo León - Alfonso Reyes,06100,HIP,"BIKE,TPV"
84,84 CHILPANCINGO-TLAXCALA,084 - Chilpancingo - Tlaxcala,06100,HIP,BIKE
85,85 ROSAS MORENO-SULLIVAN,085 - Rosas Moreno - Sullivan,06470,S-R,BIKE
86,86 SULLIVAN-INSURGENTES,086 - Sullivan-Insurgentes,06470,1,"BIKE,TPV"
87,87 GANTE-VENUSTIANO CARRANZA,087 - Gante - Venustiano Carranza,,CEN,"BIKE,TPV"
88,88 2A CDA 5 DE MAYO-PALMA,088 - 2a Cerrada de 5 de Mayo - Palma,,1,BIKE
89,89 REPUBLICA DE GUATEMALA-MONTE DE PIEDAD,089 - República de Guatemala - Monte de Piedad,,CEN,"BIKE,TPV"
90,90 JOSE MARIA PINO SUAREZ-CORREGIDORA,090 - José María Pino Suárez - Corregidora,,CEN,"BIKE,TPV"
91,91 REPUBLICA DE CUBA-ALLENDE,091 - Republica de Cuba-Allende,06500,CEN,BIKE
92,92 SAN ILDEFONSO-REPUBLICA DE ARGENTINA,092 - San Ildefonso-República de Argentina,06500,CEN,BIKE
93,93 PALMA NORTE-REPUBLICA DE CUBA,093 - Palma Norte-Republica de Cuba,06500,CEN,BIKE
94,94 LIC. VERDAD-MONEDA,94 - Lic. Verdad-Moneda,,CEN,BIKE
95,95 20 DE NOVIEMBRE-VENUSTIANO CARRANZA,095 - 20 de Noviembre-Venustiano Carranza,06500,CEN,BIKE
96,96 LOPEZ-AYUNTAMIENTO,096 - López-Ayuntamiento,06500,CEN,BIKE
97,97 REPUBLICA DE SALVADOR-PINO SUAREZ,097 - Republica de Salvador-Pino Suarez,06500,CEN,"BIKE,TPV"
98,98 EMILIO DONDE-AV. BALDERAS,098 - Emilio Dondé-Av. Balderas,06500,CEN,BIKE
99,99 ERNESTO PUGIBET-LUIS MOYA,99 - Ernesto Pugibet-Luis Moya,,CEN,BIKE
100,100 20 DE NOVIEMBRE-MESONES,100 - 20 de Noviembre-Mesones,06500,CEN,BIKE
101,101 1ER. CALLEJÓN DE MESONES-MESONES,1ER. CALLEJÓN DE MESONES - MESONES,,CEN,BIKE
102,102 ECHEVESTE-BOLIVAR,102 - Echeveste-Bolivar,,1,BIKE
103,103 JOAQUÍN VELÁZQUEZ DE LEÓN-GARCÍA ICAZBALCETA,103 JOAQUÍN VELÁZQUEZ DE LEÓN-GARCÍA ICAZBALCETA,,S-R,BIKE
104,104 SAN JERONIMO-ISABEL LA CATOLICA,104 - San Jerónimo-Isabel la Católica,06500,CUA,"BIKE,TPV"
105,105 SAN JERONIMO-5 DE FEBRERO,105 - San Jerónimo-5 de Febrero,06500,CEN,BIKE
106,106 SAN JERONIMO-JOSE MARIA PINO SUAREZ,106 - San Jerónimo-José María Pino Suarez,06500,CEN,BIKE
107,107 TOLSA-BALDERAS,107 - Tolsa-Balderas,06500,CEN,BIKE
108,108 TOLSA-BALDERAS,108 - Tolsa-Balderas,06500,CEN,"BIKE,TPV"
109,109 NEZAHUALCOYOTL-ISABEL LA CATOLICA,109 - Nezahualcóyotl-Isabel la Católica,06500,CEN,BIKE
